query_name	GCF_002073555.2_ASM207355v2_genomic.fna
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327335.1_ASM1132733v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327395.1_ASM1132739v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327415.1_ASM1132741v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_011327435.1_ASM1132743v1_genomic.fna;120891_10;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	1
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	0
GCF_002073275.2_ASM207327v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_002073555.2_ASM207355v2_genomic.fna;45078_0;	1
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	1
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	0
GCF_900638605.1_58116_G01_genomic.fna;45078_0;	1
